USER PID %CPU %MEM TIME
root 78 21.8 2.4 508:27.18
_spotlight 47373 16.0 0.0 0:00.06
_spotlight 47372 15.8 0.0 0:00.06
root 444 5.2 0.5 120:24.85
ykim 32420 5.2 1.2 4:44.07
ykim 32893 4.4 2.5 20:50.63
root 92 4.3 0.1 52:55.72
_windowserver 32085 1.9 0.7 44:36.46
root 146 1.2 0.0 5:17.77
root 1 0.9 0.1 38:53.27
ykim 37861 0.8 0.7 0:19.52
_spotlight 47266 0.6 0.0 0:00.10
_spotlight 47180 0.5 0.0 0:00.17
_spotlight 47240 0.5 0.0 0:00.10
_spotlight 47052 0.4 0.0 0:00.23
_spotlight 46453 0.4 0.0 0:00.54
root 147 0.3 0.0 0:18.11
root 94 0.3 0.1 151:43.48
root 139 0.3 0.0 3:26.64
ykim 32789 0.3 0.1 1:38.04
root 106 0.3 0.1 11:56.73
ykim 32563 0.3 1.3 3:46.68
ykim 32689 0.1 0.1 0:09.17
root 488 0.1 0.1 15:07.46
ykim 32418 0.1 2.5 13:06.24
root 111 0.1 0.0 12:51.26
ykim 32564 0.1 1.1 2:01.33
ykim 32799 0.1 0.4 0:39.66
ykim 32423 0.1 0.5 0:29.76
root 145 0.1 0.1 59:28.20
ykim 42653 0.0 0.1 0:03.29
ykim 42589 0.0 0.1 0:00.16
ykim 42537 0.0 0.2 0:00.49
ykim 42534 0.0 0.4 0:08.12
ykim 42526 0.0 1.3 3:05.59
_driverkit 42366 0.0 0.0 0:00.01
